INSURANCE_POLICY_ID,SENTIMENT_SCORE,GROSS_PREMIUM,PREMIUM_AMOUNT,RENEWAL_DATE,PAYMENT_FREQUENCY,CHURN,CURRENT_ROW_INDICATOR,REGION,COUNTRY,COMPETITIVE_PREMIUM_AMOUNT_MIN,COMPETITIVE_PRICE,COUNTRY_NAME,BUNDLE_INDICATOR,REGION_NAME,POSTAL_CODE,NUMBER_OF_PRODUCTS,NUMBER_OF_COMPLAINTS,PAYMENT_TYPE,CUSTOMER_TYPE,CANCELLATION_REASON,NUMBER_OF_RISKS,AUTO_MAKE,AUTO_YEAR,LENGTH_OF_CAR_OWNERSHIP,AUTO_MODEL,AGENT,CHANNEL
10001830,175,625,865,2018-4-01,YEARLY,0,1,OHIO,US,725,45,US,0,CENTRAL,430,4,12,DEBIT,LONG-TERM,NSF,2,GMC,2012,5,ACADIA,Phillips,Bank
10001831,150,500,525,2018-4-02,MONTHLY,1,1,OHIO,US,525,100,US,0,CENTRAL,430,3,9,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Robinson,Bank
10001832,100,900,750,2018-4-03,MONTHLY,0,1,OHIO,US,750,100,US,1,CENTRAL,430,4,0,CASH,NEW,EVENT,2,GMC,2015,2,ACADIA,Robinson,Bank
10001833,111,600,700,2018-4-04,QUARTERLY,1,1,OHIO,US,800,125,US,0,CENTRAL,430,2,5,CASH,SHORT-TERM,DECEASED,2,BMW,2016,1,4SERIES,Mitchell,Agent
10001834,155,225,1200,2018-4-05,MONTHLY,0,1,OHIO,US,750,50,US,0,CENTRAL,430,1,3,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Rogers,Bank
10001835,120,250,900,2018-4-06,YEARLY,0,1,OHIO,US,800,100,US,0,CENTRAL,430,3,8,DEBIT,LONG-TERM,NSF,2,GMC,2012,5,ACADIA,Phillips,Bank
10001836,105,600,1000,2018-4-07,YEARLY,0,1,OHIO,US,925,75,US,0,CENTRAL,430,3,2,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Robinson,Bank
10001837,155,500,1000,2018-4-08,QUARTERLY,0,1,OHIO,US,550,100,US,0,CENTRAL,430,3,0,CASH,NEW,EVENT,2,GMC,2015,2,ACADIA,Robinson,Bank
10001838,120,550,900,2018-4-09,YEARLY,0,1,OHIO,US,600,120,US,0,CENTRAL,430,3,0,CASH,SHORT-TERM,DECEASED,2,BMW,2016,1,4SERIES,Mitchell,Agent
10001839,130,225,885,2018-4-10,YEARLY,0,1,OHIO,US,770,80,US,0,CENTRAL,430,2,1,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Rogers,Bank
10001840,135,600,600,2018-4-11,QUARTERLY,1,1,OHIO,US,900,90,US,0,CENTRAL,430,2,16,CASH,SHORT-TERM,NSF,3,BMW,2016,1,4SERIES,Moore,Bank
10001841,155,550,550,2018-4-12,QUARTERLY,0,1,OHIO,US,522,200,US,0,CENTRAL,430,2,10,CASH,SHORT-TERM,DECEASED,1,HONDA,2016,1,CIVIC,Green,Agent
10001842,170,750,750,2018-4-13,QUARTERLY,0,1,OHIO,US,450,150,US,0,CENTRAL,430,2,15,CREDIT,SHORT-TERM,DECEASED,1,TOYOTA,2014,3,CAMRY,Wilson,Agent
10001843,190,600,720,2018-4-14,QUARTERLY,1,1,OHIO,US,480,155,US,0,CENTRAL,430,2,11,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Rodriguez,Bank
10001844,100,700,550,2018-4-15,MONTHLY,0,1,OHIO,US,655,120,US,1,CENTRAL,430,2,0,CASH,SHORT-TERM,DECEASED,2,BMW,2015,2,4SERIES,Walker,Agent
10001845,101,650,500,2017-3-09,YEARLY,0,1,OHIO,US,500,90,US,0,CENTRAL,430,3,4,CREDIT,SHORT-TERM,DECEASED,4,HONDA,2016,1,CIVIC,Richardson,Agent
10001846,122,750,600,2017-3-10,MONTHLY,0,1,OHIO,US,700,50,US,0,CENTRAL,430,1,8,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Hill,Bank
10001847,111,450,710,2017-3-11,MONTHLY,0,1,OHIO,US,725,55,US,0,CENTRAL,430,2,2,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Lee,Bank
10001848,125,500,865,2018-4-19,QUARTERLY,0,1,OHIO,US,525,45,US,0,CENTRAL,430,2,1,CASH,SHORT-TERM,DECEASED,4,BMW,2014,3,4SERIES,Martinez,Agent
10001849,166,600,525,2018-4-20,MONTHLY,0,1,OHIO,US,750,100,US,0,CENTRAL,430,2,0,DEBIT,LONG-TERM,EVENT,2,FORD,2009,8,F150,King,Bank
10001850,122,890,750,2019-3-22,YEARLY,0,1,OHIO,US,800,100,US,1,CENTRAL,430,2,5,CASH,SHORT-TERM,DECEASED,3,BMW,2015,2,4SERIES,Morris,Agent
10001851,175,500,700,2019-3-23,YEARLY,0,1,OHIO,US,750,125,US,0,CENTRAL,430,2,9,CASH,LONG-TERM,EVENT,0,FORD,2009,8,F150,Collins,Bank
10001852,150,450,1200,2019-3-24,QUARTERLY,0,1,OHIO,US,800,50,US,0,CENTRAL,430,2,0,CASH,SHORT-TERM,DECEASED,3,BMW,2016,1,4SERIES,Brown,Agent
10001853,100,450,900,2018-4-16,YEARLY,0,1,OHIO,US,925,100,US,0,CENTRAL,430,3,0,CASH,SHORT-TERM,NSF,2,FORD,2011,6,F150,Bell,Bank
10001854,111,625,1000,2018-4-17,MONTHLY,0,1,OHIO,US,550,75,US,0,CENTRAL,430,3,0,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Baker,Bank
10001855,155,500,1000,2018-4-18,YEARLY,1,1,OHIO,US,600,100,US,0,CENTRAL,430,5,12,CASH,SHORT-TERM,DECEASED,4,TOYOTA,2014,3,CAMRY,Turner,Agent
10001856,120,900,900,2018-4-01,MONTHLY,0,1,OHIO,US,770,120,US,0,CENTRAL,430,3,9,CASH,SHORT-TERM,DECEASED,4,BMW,2016,1,4SERIES,Wilson,Agent
10001857,105,600,885,2018-4-02,MONTHLY,0,1,OHIO,US,900,80,US,0,CENTRAL,430,4,0,DEBIT,LONG-TERM,EVENT,0,FORD,2011,6,F150,Moore,Bank
10001858,155,225,600,2018-4-03,YEARLY,1,1,OHIO,US,522,90,US,0,CENTRAL,430,3,5,CASH,NEW,NSF,3,GMC,2012,5,ACADIA,Parker,Bank
10001859,120,250,550,2018-4-04,MONTHLY,0,1,OHIO,US,450,200,US,0,CENTRAL,430,4,3,DEBIT,SHORT-TERM,EVENT,2,GMC,2012,5,ACADIA,Davis,Bank
10001860,130,600,750,2018-4-05,MONTHLY,0,1,OHIO,US,480,150,US,0,CENTRAL,430,2,8,DEBIT,NEW,NSF,2,FORD,2009,8,F150,Morris,Bank
10001861,135,500,720,2018-4-06,QUARTERLY,0,1,OHIO,US,655,155,US,0,CENTRAL,430,1,2,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Scott,Bank
10001862,155,550,550,2018-4-07,MONTHLY,0,1,OHIO,US,500,120,US,0,CENTRAL,430,3,0,CREDIT,SHORT-TERM,DECEASED,2,BMW,2016,1,4SERIES,Phillips,Agent
10001863,170,225,500,2018-4-08,YEARLY,1,1,OHIO,US,700,90,US,1,CENTRAL,430,3,0,CASH,SHORT-TERM,DECEASED,4,HONDA,2016,1,CIVIC,Cook,Bank
10001864,190,600,600,2018-4-09,YEARLY,0,1,OHIO,US,725,50,US,0,CENTRAL,430,3,1,CASH,NEW,DECEASED,3,GMC,2016,1,ACADIA,Sanders,Bank
10001865,100,550,710,2018-4-10,QUARTERLY,0,1,OHIO,US,525,55,US,0,CENTRAL,430,3,16,DEBIT,NEW,EVENT,2,GMC,2015,2,ACADIA,Gray,Bank
10001866,101,750,865,2018-4-11,YEARLY,0,1,OHIO,US,750,45,US,0,CENTRAL,430,2,10,CASH,SHORT-TERM,DECEASED,2,BMW,2016,1,4SERIES,Reed,Bank
10001867,122,600,525,2018-4-12,YEARLY,1,1,OHIO,US,800,100,US,0,CENTRAL,430,2,15,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Jones,Bank
10001868,111,700,750,2018-4-13,QUARTERLY,0,1,OHIO,US,750,100,US,0,CENTRAL,430,2,11,DEBIT,NEW,EVENT,2,FORD,2009,8,F150,Thomas,Bank
10001869,125,650,700,2018-4-14,QUARTERLY,0,1,OHIO,US,800,125,US,0,CENTRAL,430,2,0,CASH,SHORT-TERM,DECEASED,1,TOYOTA,2014,3,CAMRY,Watson,Agent
10001870,166,750,1200,2018-4-15,QUARTERLY,0,1,OHIO,US,925,50,US,0,CENTRAL,430,2,4,DEBIT,NEW,NSF,2,BMW,2011,6,4SERIES,Green,Bank
10001871,122,450,900,2017-3-09,QUARTERLY,0,1,OHIO,US,550,100,US,0,CENTRAL,430,2,8,DEBIT,LONG-TERM,NSF,2,GMC,2012,5,ACADIA,Martin,Bank
10001872,175,500,1000,2017-3-10,MONTHLY,0,1,OHIO,US,600,75,US,0,CENTRAL,430,3,2,DEBIT,LONG-TERM,EVENT,0,GMC,2009,8,ACADIA,Nelson,Bank
10001873,150,600,1000,2017-3-11,YEARLY,1,1,OHIO,US,770,100,US,0,CENTRAL,430,1,1,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Howard,Bank
10001874,100,890,900,2018-4-19,MONTHLY,1,1,OHIO,US,900,120,US,0,CENTRAL,430,4,0,DEBIT,NEW,NSF,3,BMW,2012,5,4SERIES,Gray,Bank
10001875,111,500,885,2018-4-20,MONTHLY,0,1,OHIO,US,522,80,US,1,CENTRAL,430,3,5,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Parker,Bank
10001876,155,450,600,2019-3-22,QUARTERLY,0,1,OHIO,US,450,90,US,0,CENTRAL,430,4,9,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,King,Bank
10001877,120,450,550,2019-3-23,MONTHLY,0,1,OHIO,US,480,200,US,0,CENTRAL,430,2,0,DEBIT,LONG-TERM,EVENT,3,FORD,2009,8,F150,Campbell,Bank
10001878,105,625,750,2019-3-24,YEARLY,0,1,OHIO,US,655,150,US,0,CENTRAL,430,1,0,CASH,SHORT-TERM,DECEASED,3,BMW,2015,2,4SERIES,Jackson,Agent
10001879,155,500,720,2018-4-16,YEARLY,1,1,OHIO,US,500,155,US,0,CENTRAL,430,3,0,CASH,NEW,NSF,2,GMC,2011,6,ACADIA,Nelson,Bank
10001880,120,900,865,2018-4-17,QUARTERLY,0,1,OHIO,US,700,120,US,0,CENTRAL,430,3,12,CASH,NEW,NSF,3,GMC,2011,6,ACADIA,Adams,Bank
10001881,130,600,525,2018-4-18,YEARLY,1,1,OHIO,US,725,90,US,0,CENTRAL,430,3,9,CASH,SHORT-TERM,DECEASED,1,TOYOTA,2016,1,CAMRY,Green,Agent
10001882,135,225,750,2018-4-01,YEARLY,0,1,OHIO,US,525,50,US,1,CENTRAL,430,3,0,CREDIT,SHORT-TERM,DECEASED,1,HONDA,2014,3,CIVIC,Watson,Agent
10001883,155,250,700,2018-4-02,MONTHLY,0,1,OHIO,US,750,55,US,0,CENTRAL,430,2,5,CASH,NEW,NSF,2,GMC,2012,5,ACADIA,Lee,Bank
10001884,170,600,1200,2018-4-03,MONTHLY,0,1,OHIO,US,800,45,US,0,CENTRAL,430,2,3,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Lee,Bank
10001885,190,500,900,2018-4-04,QUARTERLY,0,1,OHIO,US,750,100,US,0,CENTRAL,430,2,8,CASH,SHORT-TERM,DECEASED,4,BMW,2014,3,4SERIES,Martinez,Agent
10001886,100,550,1000,2018-4-05,MONTHLY,0,1,OHIO,US,800,100,US,0,CENTRAL,430,2,2,DEBIT,LONG-TERM,EVENT,2,FORD,2009,8,F150,King,Bank
